id,Title,Content,"Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Attachment Filename","Attachment Path","Attachment ID","Attachment Title","Attachment Caption","Attachment Description","Attachment Alt Text",Excerpt,Date,Permalink,"Post Type",Tags
5,"Hello world!","Welcome to WordPress. This is your first post. Edit or delete it, then start blogging!",,,,,,,,,,,,,,,,,,,2015-04-28,https://techplusmedia.com/education/2015/04/28/hello-world-2/,post,
12,"3D Printing to Take Off in Schools Around the World","We are living in a realm of new technology, which includes that of 3D printing. Schools seem to be stuck in the past, presenting information to students in the same way as previous generations did. While new technology can be quite scary, especially to those older generations who have a tendency to be less keen on changing their ways, changes need to be made, and the introduction of 3D printing into schools is one of these that should be taken into consideration by every single school in the world.

3D printing has, and will continue to, provide a means for inventors, innovators, and visionaries to easily fabricate prototypes for designs which they could only depict via 2-dimensional drawings and diagrams in the past. 3D printing will certainly spur on new inventions, simply because inventors now have a way to test out their ideas with tangible models and prototypes.

Where 3D printing has yet to really make a huge impact, but provides an ample amount of opportunity, is within educational institutions. These range from elementary schools to high schools, universities, and maker spaces around the globe. One reason that 3D printing has been quite slow in making its impact in these institutions is simply because of the lack of knowledge of the technology by the decision makers in charge.

Because the technology is so relatively new, the greatest impact may come via the introduction of 3D printing into public and private grade schools. The younger a person is, the easier it usually is to introduce new ideas and methodologies. This is why young children are so quick to learn new languages, when compared to their older adult counterparts.

Just about every subject within a school curriculum could benefit from 3D printing technology. We will outline a few of these below:

[caption id=""attachment_13"" align=""alignright"" width=""300""]<a href=""2015/04/29/3d-printing-to-take-off-in-schools-around-the-world/"" target=""_blank""><img class=""wp-image-13 size-medium"" src=""http://education.cxotv.news/wp-content/uploads/2015/04/3D-Printing-in-Maths-300x174.jpg"" alt=""3D-Printing-in-Maths"" width=""300"" height=""174"" /></a> <a href=""2015/04/29/3d-printing-to-take-off-in-schools-around-the-world/""> 3D Printing in Math </a>[/caption]

We have already seen many ways in which 3D printing and mathematics have converged. Most commonly it has been used to help students envision graphs and mathematical models. Some students have a difficult time grasping numbers and diagrams that they can only see on paper. This isn’t a learning disability, but rather just the way that some of our brains function. 3D printing helps those students who have a more difficult time envisioning equations, elaborate graphs, and complex mathematical models to more easily see them through tangible representations. Most importantly 3D printing brings a “cool” factor into a subject which could normally be quite boring.

&nbsp;

[caption id=""attachment_14"" align=""alignleft"" width=""300""]<a href=""2015/04/29/3d-printing-to-take-off-in-schools-around-the-world/"" target=""_blank""><img class=""wp-image-14 size-medium"" src=""http://education.cxotv.news/wp-content/uploads/2015/04/3d-priting-ingeography-300x261.jpg"" alt=""3d-priting-ingeography"" width=""300"" height=""261"" /></a> <a href=""2015/04/29/3d-printing-to-take-off-in-schools-around-the-world/""> 3D Printing in Geography/Geology </a>[/caption]

3D printing is an excellent way for students to better understand geological formations on a scale that is not presentable through 2-dimensional images. We have seen many interesting 3D printed geological forms come to the aid of those studying geography and geology. 3D printing has helped researchers land a shuttle on a comet, by aiding in picking the best possible landing spot. We have also seen a man 3D print earthquake datato help him better compare a recent quake in California to those experienced in the past. In addition to this, companies have been  effect of oil/gas fracking.  We live in a 3- using 3D printing to better understand the cause and dimensional world, so having a chance to envision the geography and geology that we are being taught using a 3-dimensional tool would obviously be the preferred option.

If writers of textbooks can understand the importance of 3D printing and want to integrate it into the lessons, then they could include files for 3D printable models with each chapter in their books. This would provide for a fun, educational experience for students and teachers alike. Imagine printing out scaled down models of certain mountain ranges, rivers, canyons, etc.  It would be a way to give kids a hands-on look at famous locations around the world without having to actually be there.

[caption id=""attachment_15"" align=""alignright"" width=""300""]<a href=""2015/04/29/3d-printing-to-take-off-in-schools-around-the-world/"" target=""_blank""><img class=""wp-image-15 size-medium"" src=""http://education.cxotv.news/wp-content/uploads/2015/04/3d-printing-in-history-300x179.jpg"" alt=""3d-printing-in-history]"" width=""300"" height=""179"" /></a> <a href=""2015/04/29/3d-printing-to-take-off-in-schools-around-the-world/""> 3D Printing in History </a>[/caption]

History is probably the subject that has the most to gain through 3D printing technology. Museums all over the globe are finally beginning to see the potential that 3D scanning and printing can have on not only making replicas of ancient artifacts, but also backing them up and providing a more hands-on feel of them. Previously, when you were to visit a museum, you could “look but not touch” the artifacts. Now with the availability of high-end 3D printers and scanners, replicas can be touched, and many of these replicas are virtually indistinguishable from their real counterparts. Now imagine if every history class had the ability to 3D print replicas of artifacts from a massive library of downloadable STL files. Every classroom would now have access to museum artifacts from the luxury of their own school.

Again this is much more exciting than reading chapter after chapter in a textbook, with many students losing focus and not comprehending what they have read. Being able to relate to an object in history goes a long way in making that history lesson much more interesting.

[caption id=""attachment_16"" align=""alignleft"" width=""300""]<a href=""2015/04/29/3d-printing-to-take-off-in-schools-around-the-world/"" target=""_blank""><img class=""wp-image-16 size-medium"" src=""http://education.cxotv.news/wp-content/uploads/2015/04/3d-printing-in-art-300x155.jpg"" alt=""3d-printing-in-art"" width=""300"" height=""155"" /></a> <a href=""2015/04/29/3d-printing-to-take-off-in-schools-around-the-world/""> 3D Printing in Art </a>[/caption]

<strong>3D Printing in Art</strong>
Art and design classes are surely going to see tremendous effects of 3D printing. The technology will open a whole new realm of possibilities for art teachers. Lesson plans could expand to include 3D design, and become much more interesting, with students being able to bring their designs to life via 3D printing. No longer do we have to rely on 2-dimensional screens in order to view 3-dimensional models. Comprehensive projects could be taken on, on a national or even global level, with the ability to share 3D printable art design with anyone, including other schools in the world.  Classes in New York could work on projects with classes in India, and then 3D print their final results in both locations.  There are many unique forms of art that have come about in the past few years through the use of 3D printing, but we have not even begun to scratch the surface of what is possible.

<strong>3D Printing as a Tool</strong>
3D printing doesn’t only provide ways of learning different subjects, but if done correctly there could be lesson plans built specifically around 3D printing in general. It is a learning tool, one which will only continue to evolve, and continue to provide benefits beyond standard educational curricula.

There are several companies trying to make inroads into the 3D printing curriculum space, and more of this is needed.  The other thing holding the technology back in a lot of schools is the simple fact that schools work on small budgets, and 3D printing is not something many people are very familiar with.  When it comes to budget decisions, those unfamiliar with a technology are more likely to vote it down.  Because of this, there needs to be more initiative taken by state and federal governments, in educating these decision makers about the technology.  President Obama has taken a lot of steps in trying to help create more buzz around 3D printing, but more will be needed, with a focus toward education.

BY EDDIE KRASSENSTEIN, Source – 3dprint.com

&nbsp;",,,,,,,,,,,,,,,,,,,2015-04-29,https://techplusmedia.com/education/2015/04/29/3d-printing-to-take-off-in-schools-around-the-world/,post,"3D|3D Printing|3D Printing in Art|3D Printing in Geography|3D Printing in History|3D Printing in Math|3D printing into schools"
28,"Sri Chaitanya Schools Starts Microsoft Cloud-Powered Digital Classrooms Initiative","Microsoft India has launched Edu-Cloud, a cloud computing-based offering that will enhance digital learning and teaching in schools and <a href=""http://education.cxotv.news/wp-content/uploads/2015/05/microsoft-india.jpg""><img class=""alignright wp-image-32 size-medium"" src=""http://education.cxotv.news/wp-content/uploads/2015/05/microsoft-india-300x197.jpg"" alt=""microsoft-india"" width=""300"" height=""197"" /></a>higher education institutions. Sri Chaitanya Schools is one of the first K-12 education networks to adopt Microsoft India’s Edu-Cloud for its teachers and students in 80 schools that will use 14,000 Windows-powered tablets to access content from the Microsoft cloud.

With Edu-Cloud, students of Sri Chaitanya Schools will have access to digital content and free access to Office 365 from Microsoft on their Windows-powered tablets, along with access to eDvelop, a Learning Management Solution from Mobiliya, a Microsoft partner.

Bhaskar Pramanik, Chairman, Microsoft India, said, “Today’s students are digital natives. At Microsoft, we help them imagine the future and realize it. With the help of cloud computing they create, deliver, and manage content from any device, anywhere, anytime making learning easy and fun. I am delighted that Sri Chaitanya Schools have decided to create digital classrooms, powered by Microsoft cloud, across their 80 schools.”

“Education is the single most important investment to build the future of the country. Technology can transform education and help build engaged, aware and digitally empowered citizens. We want to partner with Indian schools and colleges in their digital transformation journey,” he added.

Speaking about their adoption of digital learning tools, Dr. B. S Rao, Founder, Sri Chaitanya Schools said, “We believe that digital experiences help better prepare our students with 21st century skills. The world over, teaching and learning has been transformed by the use of new digital technology. Microsoft’s Edu-Cloud infrastructure is the best-in-class and we are proud to have our teachers and students use it to enhance their digital learning and teaching.”",,,,,,,,,,,,,,,,,,,2015-05-06,https://techplusmedia.com/education/2015/05/06/sri-chaitanya-schools-starts-microsoft-cloud-powered-digital-classrooms-initiative/,post,"Bhaskar Pramanik Chairman Microsoft India|Digital Classrooms|Edu-Cloud|Microsoft Cloud-Powered Digital Classrooms|Microsoft India|Microsoft India’s Edu-Cloud|Sri Chaitanya Schools"
34,"Are Classrooms ready for BYOD?","There is a transformation happening in classrooms and lecture halls around the world,” says Alyssa Atkins, content specialist at Top Hat. “Students’ devices have become an integral part of their lives, and naturally will continue to become an integral part of their <a href=""http://education.cxotv.news/wp-content/uploads/2015/05/BYOD.jpg""><img class=""alignright wp-image-35 size-medium"" src=""http://education.cxotv.news/wp-content/uploads/2015/05/BYOD-300x199.jpg"" alt=""BYOD"" width=""300"" height=""199"" /></a>educational experience. The technological standards students have will continue to increase.

Now that bring your own device, or BYOD, debate has been largely settled in the corporate world, it has moved to the education arena. School districts and universities across the nation are implementing BYOD policies that allow students to use their own tech devices to access curriculum. Supporters say it’s a way to improve education without placing large financial burdens on the schools.

BYOD allows students to use personal mobile devices, which can include laptops, tablets, e-readers, smartphones and even MP3 players as tools for learning. Long says the most widely used tool is the smartphone, although they do see some tablets and, rarely, a laptop being used.

<strong>Enhanced Education</strong>

When schools in Alberta, Canada, began considering BYOD in the classroom, the organization Alberta Education created a pilot program to study its effectiveness. In 2010, it launched an 18-month study with teams from 10 schools to see how widespread BYOD affected students and the education process.

At the end of the study, educators and analysts concluded that it enhanced student performance. Teachers reported that students who used their own devices were more engaged and invested in their own learning. And, because students were already familiar with the devices they were using, teachers didn’t have to spend time educating them on how to use the technology.

The BYOD practice is also extremely helpful for students with disabilities, who now can use their existing assistive technologies to access learning materials. And, since not all students learn the same way, there’s the added benefit of multiple forms of learning – some may study by reading a PDF, others by watching a video tutorial. File sharing through tools like Google docs or Dropbox can enhance collaboration and improve communication between students and teachers.

<strong>Setting Boundaries</strong>

For all its benefits, experts also caution that there can be drawbacks to BYOD implementation in the schools. For example, Alberta Education’s report noted that technology can be distracting and students might use it to access non-school-related programs when they should be studying. And, for economically challenged families, purchasing devices could create a financial burden.

However, most schools that implement BYOD policies also create guidelines that address these issues.

<em>By Paula Felps</em>

&nbsp;

&nbsp;

&nbsp;",,,,,,,,,,,,,,,,,,,2015-05-11,https://techplusmedia.com/education/2015/05/11/are-classrooms-ready-for-byod/,post,"Alberta Education|BYOD|BYOD policies|Dropbox|widespread BYOD"
37,"India sign 13 MoUs with Canada to enhance skill development","National Skill Development Corporation (NSDC) signed 13 Memorandums of Understanding (MoUs) with twelve (12) Canadian educational institutions, including nine (9) colleges under the <a href=""http://education.cxotv.news/wp-content/uploads/2015/05/hand-shake.jpg""><img class=""alignright wp-image-38 size-full"" src=""http://education.cxotv.news/wp-content/uploads/2015/05/hand-shake.jpg"" alt=""hand-shake"" width=""284"" height=""177"" /></a>contingent of Prime Minister Narendra Modi’s three day visit to Canada and with the objective of providing job related training for India’s rapidly growing youth population through international collaborations,

The objectives of these MoUs are for starting Academies of Excellence for training trainers and assessors, and to create Transnational Standards with Canadian Sector Skill Councils.

Each Canadian college will be paired with an Indian partner that’s focused on a specific sector, such as aviation, healthcare or agriculture. The Indian partners will pay the colleges for their services, which could include curriculum development, education for Indian trainers and assistance with accreditation systems.

The colleges will work through centres of excellence overseas that have been established by India’s National Skill Development Corporation.

Shri Rajiv Pratap Rudy, Minister of State (I/C) for Skill Development and Entrepreneurship recently launched the Human Resource and Skill Requirement reports across 24 sectors in India which will serve as the baseline for all skill development initiatives being planned across the country. According to the findings of the research reports, the incremental human resource requirement across these 24 sectors is nearly 109.731 million whereby the top 10 sectors account for about 80% of requirements.

Speaking on the MoU signing, Shri Rudy said, “India is a human resource rich country which needs to empower its youth with training and techniques to build a more powerful workforce. It is only when our youth are trained and skilled as per international best practices and standards that we can become the ‘Skill Capital’ of the world. The transfer of knowledge between India and Canada will enhance our capabilities and help us become ready for jobs across both the countries and still maintain quality standards for industries. We are honoured to be partnering Canada on the skills agenda”

Shri Dilip Chenoy, MD &amp; CEO, National Skill Development Corporation said, “This is another important milestone in our efforts to make India the skill capital of the world. These MoUs are a part of the ongoing collaborations that we’ve been having with various developed and developing countries across the world such as Australia, Germany, Iran, U.S.A., UK, etc. adopting best practices from each. This will help us prepare a workforce that will be industry ready not only for India, but for the world.",,,,,,,,,,,,,,,,,,,2015-05-12,https://techplusmedia.com/education/2015/05/12/india-sign-13-mous-with-canada-to-enhance-skill-development/,post,"13 MoUs|National Skill Development Corporation|NSDC|Prime Minister Narendra Modi|Shri Dilip Chenoy"
40,"Government Formed National Policy on Skill Development","[caption id=""attachment_41"" align=""alignright"" width=""300""]<a href=""http://2015/05/12/government-formed-national-policy-on-skill-development/"" target=""_blank""><img class=""wp-image-41 size-medium"" src=""http://education.cxotv.news/wp-content/uploads/2015/05/Smriti-Irani-300x210.jpg"" alt=""Smriti-Irani"" width=""300"" height=""210"" /></a> <a href=""2015/05/12/government-formed-national-policy-on-skill-development/""> HRD Minister Smriti Irani </a>[/caption]

HRD Ministry has formulated the National Policy on Skill Development which gives the broad framework for skill development in India.

HRD Minister Smriti Irani said through this policy, the government has put in place an institutional structure for skill development. Irani said this structure includes Prime Minister's National Council on Skill Development Agency and the National Skill Development Corporation.

""Further, government has created a separate Ministry namely Ministry of Skill Development and Entrepreneurship for better coordination and planning of skill development in the country,"" she said.

Irani said the HRD Ministry has notified a national Vocational Education Qualification Framework, which was a nationally integrated education and competency-based skill framework.

The framework would provide multiple pathways both within vocational education and between general and vocational education to link one level of learning to another higher level and enable learners to progress to higher levels from any starting points in the education or skill system,she said.

It allows cross mobility of students and their seamless integration into higher learning that enables them to acquire formal degrees and higher skills so that they perform higher level jobs in industry, she said.",,,,,,,,,,,,,,,,,,,2015-05-12,https://techplusmedia.com/education/2015/05/12/government-formed-national-policy-on-skill-development/,post,"HRD Minister Smriti Irani|HRD Ministry|National Skill Development Corporation|Skill Development|Skill Development Agency"
45,"Smriti Irani Propose Common syllabus for Central Universities","[caption id=""attachment_46"" align=""alignright"" width=""247""]<a href=""/2015/05/12/smriti-irani-propose-common-syllabus-for-central-universities/"" target=""_blank""><img class=""wp-image-46 size-medium"" src=""http://education.cxotv.news/wp-content/uploads/2015/05/Union-HRD-Minister-Smriti-Irani-247x300.jpg"" alt=""Union-HRD-Minister-Smriti-Irani"" width=""247"" height=""300"" /></a> <a href=""/2015/05/12/smriti-irani-propose-common-syllabus-for-central-universities/""> Union HRD Minister Smriti Irani </a>[/caption]

Union HRD Minister Smriti Irani is pushing hard the idea of Common Syllabus for Central Universities , Be it the premier Jawaharlal Nehru University, Aligarh Muslim University or the Banaras Hindu University, all will have common syllabus, come next academic session.

The Initiative was initially proposed during the terms of NDA 1 by BJP veteran Murli Manohar Joshi but there was a stiff opposition to the proposal as well, but the HRD Ministry is set to decide the syllabi at undergraduate, postgraduate as well as research level.

The sceptics see the new syllabi system, dubbed as the 'choice-based credit system' (CBCS), an attempt to saffronise the education sector. ""The government now aims at first disabling the universities from making own syllabus .But the academicians feel that the uniform syllabus system will distort the individualistic character of the varsities.

""Universities are centres for creativity, thinking and innovation. What UGC and HRD are coming out with should only help in setting a minimum standard. But it should not govern the overall education system of every university,"" said professor GC Tripathi, Vice-Chancellor of Banaras Hindu University.

Tripathi also questioned the CBCS for interfering with the autonomy of the universities. ""Central varsities are governed by own constitution and cater to the local needs of the area they operate in. The CBCS needs to ensure that the local characteristics of the universities are protected,"" he added.

The universities have also raised issue of faculty and infrastructure. The HRD ministry announced introduction of CBCS in November last year and wants to enroll it in the coming academic session that begins in June-July this year.",,,,,,,,,,,,,,,,,,,2015-05-12,https://techplusmedia.com/education/2015/05/12/smriti-irani-propose-common-syllabus-for-central-universities/,post,"Banaras Hindu University|CBCS|HRD Ministry|Murli Manohar Joshi|Smriti Irani|Union HRD Minister Smriti Irani"
49,"Education  Technology Start up drawing investor attention","Education technology start-ups are gaining investor at over attention in the past few months with top venture capital firms validating their growth potential.<a href=""http://2015/05/12/education-technology-start-up-drawing-investor-attention/"" target=""_blank""><img class=""alignright wp-image-50 size-medium"" src=""http://education.cxotv.news/wp-content/uploads/2015/05/handshake-300x185.jpg"" alt=""handshake"" width=""300"" height=""185"" /></a>

Since April 2015, at least five start-ups in the education technology space have raised close to $40 million in initial funding.In April, three other firms in the education technology space, including Simplilearn, Purple Squirrel and Nayi Disha raised significant amounts from investors.

Last week, Fidelity, SAIF and Helion pumped $10 million into the online test preparation platform Toppr, while Accel and Tiger Global invested $5 million in online tutoring platform Vedantu.

Mayfield along with Kalaari Capital and Helion Venture Partners invested $15 million in online certification courses platform Simplilearn, while Matrix pumped in an undisclosed sum into Purple Squirrel that organises industrial visits for college students.

Nayi Disha, which offers engaging learning modules for preschoolers, raised $2 million in seed funding.

In the education technology arena, online test preparation is among the fastest growing segment, and has been getting substantial venture capital interest.

""The online test preparation market for students up to Class XII is valued at $8 billion and is growing as much as 20 per cent a year, Zishaan Hayath, chief executive, and co-founder of Toppr said.

""K12 education, which is into primary and secondary education system, is a large space but served by individual teachers,"" Rahul Chowdhri of Helion Ventures, that has backed Toppr, said.

""That is a hard model to scale and one needs a player who can democratise education in this country,"" he added.

In March, Toppr expanded its network by acquiring competitor Easyprep.

The Mumbai-based Embibe, which had raised $4 million last year from Kalaari Capital and Lightbox Ventures, too recently expanded its reach by acquiring competitor 100Marks.

""Embibe offers customised modules to students that aim at addressing specific weaknesses based on analytics.

Through technology, we aim to capture through technology what coaching classes can miss out on,"" said Embibe founder and chief executive Aditi Avasthi.",,,,,,,,,,,,,,,,,,,2015-05-12,https://techplusmedia.com/education/2015/05/12/education-technology-start-up-drawing-investor-attention/,post,"Education technology|Helion Venture|K12 education|Kalaari Capital|Nayi Disha|Rahul Chowdhri|Zishaan Hayath"
53,"4 Ways Technology Is Making Education More Affordable and Available","A report  found that global ed-tech companies raised $2.34 billion in funding in 2014, up from $1.64 billion in 2013. Here are the top <a href=""http://2015/05/12/4-ways-technology-is-making-education-more-affordable-and-available/"" target=""_blank""><img class=""alignright wp-image-54 size-medium"" src=""http://education.cxotv.news/wp-content/uploads/2015/05/Education-300x211.jpg"" alt=""Education"" width=""300"" height=""211"" /></a>ways those investments are changing the world:

<strong>1. Improving access.</strong>

Global access to basic education is a major problem. Almost 58 million children of elementary school age and approximately 63 million middle school-aged preteens worldwide were not enrolled in school in 2012, areport published in January 2015 by UNICEF noted.

Educators around the world are using technology to increase access to education. Pencil, a nonprofit organization in US, is leveraging technology and community involvement to impact urban schools, paving the way for struggling school systems in cities worldwide.

The organization forms partnerships between local businesses, schools, and volunteers to improve academic outcomes, prepare students for college, and invest students and families in their education. The model has impacted more than 220,000 children, the organization’s 2012report indicates.

<strong>2. Overcoming cost.</strong>

One of the largest barriers to education is cost. As the cost of education rises, many public school teachers are left to pick up the tab.Ed-tech is helping to relieve some of the financial burden. A pioneering crowdfunding site, DonorsChoose.org, enables educators to post their needs and seek donations. Requests range from simple supplies such as pencils and paper to more expensive items such as hydrogen fuel cells for students learning about alternative energy.

Since it was founded in 2000, the site has raised more than $300 million and benefitted about 14 million students, claims the company website.

<strong>3. Restructuring the classroom.</strong>

Education technology is changing the way teachers teach and students learn. In place of the traditional brick-and-mortar classroom, we have witnessed the rise of “flipped classrooms” leveraging blended online and offline instruction, where students watch video lectures at home and do their “homework” in class.

<strong>4. Skills training.</strong>

Ed-tech solutions also provide education to adults who want to improve their job skills, learn new skills or receive higher education at a lower cost.

For instance, Udacity offers affordable higher education options. The company provides massive open online courses that focus on teaching tech skills needed by the top employers in the Silicon Valley. A range of technology skills are in short supply today, and Udacity is working to bridge the skills gap.

Pluralsight also provides accessible training for tech professionals. The site offers a professional library of 3,000 course written by more than 600 authors for developers around the world looking to expand their skills.

By developing education alternatives, these companies are ensuring that every student, regardless of age or location, can compete in a 21st century economy.",,,,,,,,,,,,,,,,,,,2015-05-12,https://techplusmedia.com/education/2015/05/12/4-ways-technology-is-making-education-more-affordable-and-available/,post,"Education|Education technology|Pluralsight|skills gap|Udacity"
60,"Edutor  expand footprint with its learning solution ""Ignitor""","<strong>Hyderabad Based Edutor has a flagship product called Ignitor, which provides interactive learning solutions. </strong>Through Ignitor, Edutor offers a custom designed solution called Edutor Student Tab  consisting of a Tablet loaded <a href=""http://education.cxotv.news/2015/05/13/edutor-expand-footprint-with-its-learning-solution-ignitor/"" target=""_blank""><img class=""alignright wp-image-61 size-medium"" src=""http://education.cxotv.news/wp-content/uploads/2015/05/Ignitor-300x225.jpg"" alt=""Ignitor"" width=""300"" height=""225"" /></a>with the IGNITOR Learning Platform. Edutor StudentTab comes in two models – c70 &amp; c97.

Hardware Features:
<ul>
	<li>9.7 inch/ 7 inch, highly sensitive touch- screen</li>
	<li>Customised Android 4.0 based OS</li>
	<li>1.2 GHz processor, 1GB / 512 MB RAM</li>
	<li>WiFi Connectivity</li>
</ul>
Edutor Student Tab is an Android tablet pre-loaded with its learning platform Ignitor. Ignitor can also be deployed on OEM brands  to deliver enhanced learning experience enriched with well-researched content. Ignitor helps the tutor to engage with students and also empowers them to make the learning experience go beyond rigid boundaries of the past. The main components of Ignitor are as follows:
<ul>
	<li><strong>Mobile Learning Environment</strong></li>
	<li><strong>Course Delivery Engine</strong></li>
	<li><strong>Content Security</strong></li>
	<li><strong>Mobile Device Management</strong></li>
</ul>
[caption id=""attachment_62"" align=""alignright"" width=""300""]<a href=""http://education.cxotv.news/2015/05/13/edutor-expand-footprint-with-its-learning-solution-ignitor/"" target=""_blank""><img class=""wp-image-62 size-medium"" src=""http://education.cxotv.news/wp-content/uploads/2015/05/Ignitor-platform-300x151.jpg"" alt=""Ignitor-platform"" width=""300"" height=""151"" /></a> <a href=""2015/05/13/edutor-expand-footprint-with-its-learning-solution-ignitor/""> Ignitor platform </a>[/caption]

Students can access the content offline anytime, anywhere and the content delivery platform provides content from top publishers like Pearson, Orient Blackswan and Cambridge University Press. Ignitor works with the schools for solution integration and students are instructed to ‘<strong>Bring Your Own Device</strong>’ <strong>(BYOD)</strong>. The Ignitor platform and courseware are installed on the student devices which are then used in the classroom and at home. More than 40,000 students are using Ignitor now.

Edutor also works with test preparation institutes to solve the challenges that are faced by these institutes due to changing exam patterns, evolving assessment paradigms and the sheer growth in the number of students appearing for these competitive exams. Edutor also provides solution for distance-based learning with a video-based course delivery network through Ignitor. Ignitor offline-online Assessment Engine offers end-to-end automation of assessment process for institutes. Edutor also provides solutions for higher education institutions like Learning Management Systems, Communication &amp; Collaboration and Assessments – all integrated around Digital Book &amp; Content.

Edutor has expanded its geographical footprint and has been offering its products to the US and Europe market in the last two years and have a good amount of traction.

Though the test preparation market is growing at a rapid pace with multiple players like 100marks,MeraTestBazaar, Testbook, Embibe and Toppr trying to make a mark,

&nbsp;

&nbsp;",,,,,,,,,,,,,,,,,,,2015-05-13,https://techplusmedia.com/education/2015/05/13/edutor-expand-footprint-with-its-learning-solution-ignitor/,post,"Bring Your Own Device|Content Security|Ignitor|Ignitor platform|Mobile Device Management|Testbook|WiFi Connectivity"
